group,year,bev_share,ice_share,phev_share
world,2015.0,0.3903,99.5135,0.1599
world,2015.1,0.4165,99.4811,0.1684
world,2015.2,0.4440,99.4469,0.1773
world,2015.3,0.4729,99.4109,0.1865
world,2015.4,0.5032,99.3730,0.1961
world,2015.5,0.5350,99.3331,0.2060
world,2015.6,0.5684,99.2912,0.2163
world,2015.7,0.6032,99.2471,0.2270
world,2015.8,0.6397,99.2009,0.2381
world,2015.9,0.6779,99.1524,0.2495
world,2016.0,0.7177,99.1015,0.2613
world,2016.1,0.7593,99.0482,0.2735
world,2016.2,0.8027,98.9925,0.2860
world,2016.3,0.8479,98.9341,0.2990
world,2016.4,0.8950,98.8731,0.3123
world,2016.5,0.9441,98.8094,0.3260
world,2016.6,0.9951,98.7428,0.3401
world,2016.7,1.0481,98.6734,0.3546
world,2016.8,1.1032,98.6009,0.3695
world,2016.9,1.1605,98.5254,0.3848
world,2017.0,1.2199,98.4467,0.4004
world,2017.1,1.2816,98.3638,0.4172
world,2017.2,1.3457,98.2774,0.4345
world,2017.3,1.4121,98.1874,0.4524
world,2017.4,1.4809,98.0936,0.4708
world,2017.5,1.5522,97.9961,0.4897
world,2017.6,1.6260,97.8946,0.5091
world,2017.7,1.7024,97.7891,0.5290
world,2017.8,1.7814,97.6794,0.5494
world,2017.9,1.8630,97.5656,0.5743
world,2018.0,1.9474,97.4475,0.6082
world,2018.1,2.0350,97.3250,0.6438
world,2018.2,2.1252,97.1979,0.6810
world,2018.3,2.2182,97.0663,0.7200
world,2018.4,2.3141,96.9299,0.7608
world,2018.5,2.4130,96.7886,0.8034
world,2018.6,2.5149,96.6424,0.8479
world,2018.7,2.6199,96.4912,0.8943
world,2018.8,2.7280,96.3348,0.9428
world,2018.9,2.8394,96.1732,0.9933
world,2019.0,2.9540,96.0061,1.0459
world,2019.1,3.0719,95.8336,1.1007
world,2019.2,3.1932,95.6554,1.1578
world,2019.3,3.3179,95.4715,1.2171
world,2019.4,3.4461,95.2818,1.2788
world,2019.5,3.5778,95.0861,1.3429
world,2019.6,3.7131,94.8844,1.4095
world,2019.7,3.8520,94.6764,1.4786
world,2019.8,3.9946,94.4622,1.5502
world,2019.9,4.1410,94.2416,1.6246
world,2020.0,4.2911,94.0144,1.7016
world,2020.1,4.4451,93.7807,1.7814
world,2020.2,4.6030,93.5402,1.8640
world,2020.3,4.7649,93.2928,1.9494
world,2020.4,4.9308,93.0386,2.0378
world,2020.5,5.1007,92.7772,2.1292
world,2020.6,5.2747,92.5087,2.2235
world,2020.7,5.4529,92.2330,2.3210
world,2020.8,5.6352,91.9500,2.4215
world,2020.9,5.8219,91.6595,2.5252
world,2021.0,6.0128,91.3615,2.6321
world,2021.1,6.2081,91.0559,2.7422
world,2021.2,6.4079,90.7426,2.8555
world,2021.3,6.6120,90.4215,2.9721
world,2021.4,6.8207,90.0926,3.0920
world,2021.5,7.0339,89.7558,3.2152
world,2021.6,7.2517,89.4111,3.3417
world,2021.7,7.4742,89.0583,3.4715
world,2021.8,7.7013,88.6975,3.6047
world,2021.9,7.9331,88.3285,3.7411
world,2022.0,8.1698,87.9514,3.8809
world,2022.1,8.4112,87.5661,4.0240
world,2022.2,8.6575,87.1725,4.1712
world,2022.3,8.9087,86.7708,4.3219
world,2022.4,9.1648,86.3607,4.4758
world,2022.5,9.4259,85.9425,4.6330
world,2022.6,9.6920,85.5160,4.7935
world,2022.7,9.9631,85.0812,4.9571
world,2022.8,10.2393,84.6383,5.1239
world,2022.9,10.5207,84.1871,5.2937
world,2023.0,10.8072,83.7278,5.4665
world,2023.1,11.0988,83.2604,5.6422
world,2023.2,11.3957,82.7850,5.8208
world,2023.3,11.6978,82.3016,6.0020
world,2023.4,12.0052,81.8103,6.1858
world,2023.5,12.3178,81.3112,6.3722
world,2023.6,12.6358,80.8044,6.5610
world,2023.7,12.9591,80.2899,6.7520
world,2023.8,13.2878,79.7680,6.9451
world,2023.9,13.6218,79.2387,7.1402
world,2024.0,13.9613,78.7022,7.3371
world,2024.1,14.3061,78.1586,7.5358
world,2024.2,14.6564,77.6080,7.7360
world,2024.3,15.0122,77.0507,7.9375
world,2024.4,15.3734,76.4869,8.1401
world,2024.5,15.7401,75.9166,8.3436
world,2024.6,16.1123,75.3401,8.5478
world,2024.7,16.4899,74.7576,8.7525
world,2024.8,16.8731,74.1694,8.9576
world,2024.9,17.2617,73.5755,9.1628
world,2025.0,17.6558,72.9764,9.3678
world,2025.1,18.0555,72.3722,9.5724
world,2025.2,18.4606,71.7631,9.7763
world,2025.3,18.8712,71.1495,9.9793
world,2025.4,19.2873,70.5316,10.1811
world,2025.5,19.7088,69.9097,10.3815
world,2025.6,20.1358,69.2840,10.5801
world,2025.7,20.5683,68.6549,10.7768
world,2025.8,21.0061,68.0226,10.9713
world,2025.9,21.4493,67.3875,11.1632
world,2026.0,21.8979,66.7499,11.3522
world,2026.1,22.3518,66.1100,11.5382
world,2026.2,22.8110,65.4683,11.7216
world,2026.3,23.2754,64.8250,11.9017
world,2026.4,23.7449,64.1805,12.0779
world,2026.5,24.2196,63.5351,12.2498
world,2026.6,24.6994,62.8892,12.4170
world,2026.7,25.1841,62.2431,12.5793
world,2026.8,25.6737,61.5972,12.7365
world,2026.9,26.1681,60.9519,12.8882
world,2027.0,26.6672,60.3076,13.0342
world,2027.1,27.1709,59.6646,13.1742
world,2027.2,27.6790,59.0233,13.3080
world,2027.3,28.1915,58.3840,13.4352
world,2027.4,28.7082,57.7473,13.5557
world,2027.5,29.2288,57.1135,13.6691
world,2027.6,29.7534,56.4830,13.7754
world,2027.7,30.2816,55.8561,13.8742
world,2027.8,30.8133,55.2334,13.9654
world,2027.9,31.3482,54.6151,14.0487
world,2028.0,31.8863,54.0017,14.1240
world,2028.1,32.4271,53.3936,14.1912
world,2028.2,32.9706,52.7911,14.2501
world,2028.3,33.5164,52.1946,14.3006
world,2028.4,34.0644,51.6045,14.3426
world,2028.5,34.6143,51.0210,14.3760
world,2028.6,35.1657,50.4445,14.4007
world,2028.7,35.7186,49.8752,14.4168
