period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,HDV,ACEA,,,,,,,7982.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,HDV,ACEA,,,,,,,9941.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,HDV,ACEA,1.0,,0.0,0.0,3402.0,10.0,3413.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,HDV,ACEA,4.0,,0.0,0.0,2656.0,0.0,2660.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,3972.0,34.0,4006.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,HDV,ACEA,1.0,,0.0,0.0,1502.0,2.0,1505.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,1614.0,2.0,1616.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,1783.0,2.0,1785.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2023-08,quarterly,HDV,ACEA,1.0,,0.0,0.0,2399.0,6.0,2406.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,3232.0,0.0,3232.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,HDV,ACEA,1.0,,0.0,0.0,2181.0,1.0,2183.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,HDV,ACEA,0.0,,0.0,0.0,2703.0,0.0,2703.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,3162.0,10.0,3172.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,HDV,ACEA,1.0,,0.0,0.0,3488.0,7.0,3496.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,HDV,ACEA,2.0,,0.0,0.0,2221.0,20.0,2243.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,HDV,ACEA,2.0,,0.0,0.0,2180.0,10.0,2192.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2024-11,quarterly,HDV,ACEA,2.0,,0.0,0.0,2077.0,8.0,2087.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,3547.0,12.0,3559.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2026-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,4131.0,19.0,4150.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations-H1_2026.pdf
