period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-01,monthly,2-Wheelers,dpshtrr.al,0,,,193,1,,194,
2020-02,monthly,2-Wheelers,dpshtrr.al,0,,,200,0,,200,
2020-03,monthly,2-Wheelers,dpshtrr.al,0,,,91,2,,93,
2020-04,monthly,2-Wheelers,dpshtrr.al,4,,,113,1,,118,
2020-05,monthly,2-Wheelers,dpshtrr.al,1,,,359,1,,361,
2020-06,monthly,2-Wheelers,dpshtrr.al,27,,,403,1,,431,
2020-07,monthly,2-Wheelers,dpshtrr.al,6,,,436,1,,443,
2020-08,monthly,2-Wheelers,dpshtrr.al,2,,,363,1,,366,
2020-09,monthly,2-Wheelers,dpshtrr.al,1,,,322,2,,325,
2020-10,monthly,2-Wheelers,dpshtrr.al,2,,,320,0,,322,
2020-11,monthly,2-Wheelers,dpshtrr.al,4,,,259,0,,263,
2020-12,monthly,2-Wheelers,dpshtrr.al,1,,,238,0,,239,
2021-01,monthly,2-Wheelers,dpshtrr.al,2,,,185,1,,188,
2021-02,monthly,2-Wheelers,dpshtrr.al,0,,,247,0,,247,
2021-03,monthly,2-Wheelers,dpshtrr.al,20,,,357,0,,377,
2021-04,monthly,2-Wheelers,dpshtrr.al,9,,,325,0,,334,
2021-05,monthly,2-Wheelers,dpshtrr.al,2,,,400,1,,403,
2021-06,monthly,2-Wheelers,dpshtrr.al,20,,,472,0,,492,
2021-07,monthly,2-Wheelers,dpshtrr.al,2,,,419,0,,421,
2021-08,monthly,2-Wheelers,dpshtrr.al,1,,,447,1,,449,
2021-09,monthly,2-Wheelers,dpshtrr.al,17,,,393,1,,411,
2021-10,monthly,2-Wheelers,dpshtrr.al,4,,,283,1,,288,
2021-11,monthly,2-Wheelers,dpshtrr.al,1,,,261,0,,262,
2021-12,monthly,2-Wheelers,dpshtrr.al,4,,,214,0,,218,
2022-01,monthly,2-Wheelers,dpshtrr.al,5,,,231,0,,236,
2022-02,monthly,2-Wheelers,dpshtrr.al,0,,,364,1,,365,
2022-03,monthly,2-Wheelers,dpshtrr.al,3,,,540,1,,544,
2022-04,monthly,2-Wheelers,dpshtrr.al,6,,,516,0,,522,
2022-05,monthly,2-Wheelers,dpshtrr.al,2,,,501,0,,503,
2022-06,monthly,2-Wheelers,dpshtrr.al,7,,,484,0,,491,
2022-07,monthly,2-Wheelers,dpshtrr.al,3,,,431,0,,434,
2022-08,monthly,2-Wheelers,dpshtrr.al,3,,,465,1,,469,
2022-09,monthly,2-Wheelers,dpshtrr.al,4,,,348,0,,352,
2022-10,monthly,2-Wheelers,dpshtrr.al,2,,,331,0,,333,
2022-11,monthly,2-Wheelers,dpshtrr.al,2,,,269,0,,271,
2022-12,monthly,2-Wheelers,dpshtrr.al,1,,,246,1,,248,
2023-01,monthly,2-Wheelers,dpshtrr.al,2,,,274,0,,276,
2023-02,monthly,2-Wheelers,dpshtrr.al,0,,,304,1,,305,
2023-03,monthly,2-Wheelers,dpshtrr.al,34,,,387,0,,421,
2023-04,monthly,2-Wheelers,dpshtrr.al,1,,,377,0,,378,
2023-05,monthly,2-Wheelers,dpshtrr.al,4,,,504,1,,509,
2023-06,monthly,2-Wheelers,dpshtrr.al,4,,,599,1,,604,
2023-07,monthly,2-Wheelers,dpshtrr.al,24,,,525,0,,549,
2023-08,monthly,2-Wheelers,dpshtrr.al,2,,,592,0,,594,
2023-09,monthly,2-Wheelers,dpshtrr.al,6,,,547,1,,554,
2023-10,monthly,2-Wheelers,dpshtrr.al,7,,,539,0,,546,
2023-11,monthly,2-Wheelers,dpshtrr.al,1,,,333,1,,335,
2023-12,monthly,2-Wheelers,dpshtrr.al,2,,,329,1,,332,
2024-01,monthly,2-Wheelers,dpshtrr.al,1,,,410,0,,411,
2024-02,monthly,2-Wheelers,dpshtrr.al,8,,,477,1,,486,
2024-03,monthly,2-Wheelers,dpshtrr.al,7,,,473,0,,480,
2024-04,monthly,2-Wheelers,dpshtrr.al,9,,,726,0,,735,
2024-05,monthly,2-Wheelers,dpshtrr.al,10,,,923,0,,933,
2024-06,monthly,2-Wheelers,dpshtrr.al,5,,,873,0,,878,
2024-07,monthly,2-Wheelers,dpshtrr.al,7,,,946,1,,954,
2024-08,monthly,2-Wheelers,dpshtrr.al,9,,,614,1,,624,
2024-09,monthly,2-Wheelers,dpshtrr.al,2,,,513,0,,515,
2024-10,monthly,2-Wheelers,dpshtrr.al,11,,,578,0,,589,
2024-11,monthly,2-Wheelers,dpshtrr.al,5,,,386,2,,393,
2024-12,monthly,2-Wheelers,dpshtrr.al,4,,,389,0,,393,
2026-01,monthly,2-Wheelers,dpshtrr.al,35,,,485,0,,520,
2026-02,monthly,2-Wheelers,dpshtrr.al,18,,,630,0,,648,
2026-03,monthly,2-Wheelers,dpshtrr.al,35,,,974,1,,1010,
2026-04,monthly,2-Wheelers,dpshtrr.al,28,,,1069,0,,1097,
2026-05,monthly,2-Wheelers,dpshtrr.al,28,,,956,2,,986,
