period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2026-04,monthly,HDV,PZPM,16.0,,,,3429.0,24.0,3469.0,
2026-05,monthly,HDV,PZPM,7.0,,,,2982.0,10.0,2999.0,
2026-06,monthly,HDV,PZPM,32.0,,,,3966.0,46.0,4044.0,
2026-07,monthly,HDV,PZPM,16.0,,,,2300.0,22.0,2338.0,
2026-08,monthly,HDV,PZPM,29.0,,,,1792.0,21.0,1842.0,
2021-07,yearly,HDV,ACEA,,,,,,,32684.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,HDV,ACEA,,,,,,,34905.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,HDV,ACEA,34.0,,1.0,0.0,8471.0,85.0,8591.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,HDV,ACEA,1.0,,0.0,2.0,6987.0,226.0,7216.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,HDV,ACEA,15.0,,1.0,0.0,8604.0,86.0,8706.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,HDV,ACEA,1.0,,0.0,-2.0,8205.0,186.0,8390.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,HDV,ACEA,26.0,,0.0,0.0,7167.0,34.0,7227.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2024-05,quarterly,HDV,ACEA,31.0,,0.0,0.0,8246.0,37.0,8314.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2024-08,quarterly,HDV,ACEA,17.0,,0.0,0.0,5414.0,19.0,5450.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2023-08,quarterly,HDV,ACEA,12.0,,0.0,2.0,9176.0,87.0,9277.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,8271.0,86.0,8357.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,HDV,ACEA,24.0,,0.0,1.0,8783.0,90.0,8898.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,HDV,ACEA,4.0,,0.0,0.0,10808.0,101.0,10913.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,HDV,ACEA,27.0,,1.0,0.0,6246.0,47.0,6321.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2025-05,quarterly,HDV,ACEA,28.0,,0.0,-1.0,8624.0,47.0,8698.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,HDV,ACEA,52.0,,0.0,0.0,6586.0,35.0,6673.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,HDV,ACEA,71.0,,0.0,3.0,8099.0,78.0,8251.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2024-11,quarterly,HDV,ACEA,24.0,,1.0,0.0,7016.0,44.0,7085.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,HDV,ACEA,49.0,,0.0,0.0,8264.0,84.0,8397.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
