period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Buses,ACEA,,,,,,,715.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,860.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,65.0,,23.0,0.0,471.0,12.0,571.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Buses,ACEA,6.0,,2.0,0.0,5.0,53.0,66.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,66.0,,0.0,0.0,524.0,0.0,590.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Buses,ACEA,28.0,,0.0,0.0,6.0,0.0,34.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,131.0,,33.0,0.0,40.0,0.0,204.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2024-05,quarterly,Buses,ACEA,111.0,,4.0,0.0,18.0,0.0,133.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2022-08,quarterly,Buses,ACEA,24.0,,11.0,0.0,23.0,0.0,58.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2022-11,quarterly,Buses,ACEA,99.0,,2.0,0.0,16.0,16.0,133.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,Buses,ACEA,71.0,,10.0,0.0,26.0,0.0,107.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Buses,ACEA,86.0,,7.0,0.0,28.0,0.0,121.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Buses,ACEA,298.0,,0.0,0.0,197.0,0.0,495.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2024-08,quarterly,Buses,ACEA,39.0,,15.0,0.0,27.0,0.0,81.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2024-11,quarterly,Buses,ACEA,53.0,,3.0,0.0,12.0,0.0,68.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,Buses,ACEA,29.0,,0.0,0.0,19.0,0.0,48.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2026-05,quarterly,Buses,ACEA,186.0,,0.0,0.0,16.0,0.0,202.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations-H1_2026.pdf
