period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Vans,ACEA,,,,,,,3411.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Vans,ACEA,,,,,,,3321.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,28.0,,0.0,57.0,522.0,0.0,607.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Vans,ACEA,8.0,,0.0,23.0,747.0,1.0,779.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,25.0,,0.0,72.0,789.0,0.0,886.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,Vans,ACEA,15.0,,0.0,37.0,942.0,0.0,994.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,15.0,,1.0,63.0,863.0,0.0,942.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Vans,ACEA,18.0,,0.0,77.0,594.0,0.0,689.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Vans,ACEA,31.0,,0.0,69.0,474.0,0.0,574.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Vans,ACEA,45.0,,1.0,42.0,758.0,2.0,848.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Vans,ACEA,20.0,,1.0,44.0,786.0,0.0,851.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,81.0,,0.0,19.0,663.0,0.0,763.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Vans,ACEA,10.0,,0.0,31.0,656.0,0.0,697.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,Vans,ACEA,15.0,,99.0,43.0,711.0,0.0,868.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Vans,ACEA,40.0,,58.0,53.0,987.0,0.0,1138.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Vans,ACEA,142.0,,21.0,22.0,880.0,0.0,1065.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
