period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,Used,duurzamemobiliteit.databank.nl (RDW),83.0,106.0,,12849.0,4465.0,,164.0,17667.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-02,monthly,Used,duurzamemobiliteit.databank.nl (RDW),66.0,110.0,,11894.0,4229.0,,117.0,16416.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-03,monthly,Used,duurzamemobiliteit.databank.nl (RDW),94.0,152.0,,13940.0,4551.0,,152.0,18889.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-04,monthly,Used,duurzamemobiliteit.databank.nl (RDW),78.0,107.0,,11959.0,3552.0,,151.0,15847.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-05,monthly,Used,duurzamemobiliteit.databank.nl (RDW),94.0,108.0,,12856.0,3682.0,,159.0,16899.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-06,monthly,Used,duurzamemobiliteit.databank.nl (RDW),84.0,136.0,,13964.0,3878.0,,160.0,18222.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-07,monthly,Used,duurzamemobiliteit.databank.nl (RDW),82.0,135.0,,13293.0,3836.0,,148.0,17494.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-08,monthly,Used,duurzamemobiliteit.databank.nl (RDW),99.0,137.0,,12989.0,3144.0,,117.0,16486.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-09,monthly,Used,duurzamemobiliteit.databank.nl (RDW),71.0,124.0,,12616.0,2914.0,,125.0,15850.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-10,monthly,Used,duurzamemobiliteit.databank.nl (RDW),107.0,130.0,,13789.0,3023.0,,152.0,17201.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-11,monthly,Used,duurzamemobiliteit.databank.nl (RDW),107.0,127.0,,14149.0,2918.0,,153.0,17454.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2018-12,monthly,Used,duurzamemobiliteit.databank.nl (RDW),151.0,154.0,,12877.0,2762.0,,127.0,16071.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2019-01,monthly,Used,duurzamemobiliteit.databank.nl (RDW),139.0,135.0,,14174.0,2751.0,,126.0,17325.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2019-02,monthly,Used,duurzamemobiliteit.databank.nl (RDW),136.0,111.0,,14369.0,2784.0,,145.0,17545.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2019-03,monthly,Used,duurzamemobiliteit.databank.nl (RDW),145.0,123.0,,14872.0,2769.0,,124.0,18033.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
2019-04,monthly,Used,duurzamemobiliteit.databank.nl (RDW),149.0,118.0,,13980.0,2552.0,,122.0,16921.0,workspace_guid=ffaf2d83-0174-4b36-92b9-f7bd96ad4d89
